,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT,WC
29,29,29,29,29,29,29,29,29,29,29,29,29,29,72429793812,2017-01-30,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",28.8,24,17.2,24,1016.3,23,997.7,24,9.6,24,9.0,24,15.0,19.0,35.1, ,21.9, ,0.01,G,999.9,1000,20.327304040620543
30,30,30,30,30,30,30,30,30,30,30,30,30,30,72429793812,2017-01-31,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",41.2,24,27.7,24,1009.8,24,991.6,24,10.0,24,11.4,24,20.0,28.9,50.0, ,21.9, ,0.0,G,999.9,0,34.57445263287464
31,31,31,31,31,31,31,31,31,31,31,31,31,31,72429793812,2017-02-01,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",42.0,24,30.4,24,1018.0,23,999.9,24,10.0,24,6.4,24,11.1,999.9,50.0, ,28.0, ,0.0,G,999.9,10000,37.89403285587676
32,32,32,32,32,32,32,32,32,32,32,32,32,32,72429793812,2017-02-02,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",34.5,24,19.0,24,1026.0,24,7.5,24,10.0,24,6.0,24,8.9,15.0,44.1, ,28.9, ,0.0,G,999.9,0,29.20808659566561
33,33,33,33,33,33,33,33,33,33,33,33,33,33,72429793812,2017-02-03,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",27.1,24,10.2,24,1030.1,24,11.4,24,10.0,24,6.3,24,11.1,999.9,39.0, ,23.0, ,0.0,G,999.9,0,20.142952605434054
34,34,34,34,34,34,34,34,34,34,34,34,34,34,72429793812,2017-02-04,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",23.9,24,10.3,24,1032.3,24,13.4,24,9.6,24,3.0,24,8.0,999.9,37.0, ,12.0, ,0.0,G,999.9,0,9999.9
35,35,35,35,35,35,35,35,35,35,35,35,35,35,72429793812,2017-02-05,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",41.5,24,22.9,24,1018.3,24,999.9,24,10.0,24,8.5,24,18.1,22.0,53.1,*,28.9,*,0.0,G,999.9,0,36.16983542326663
36,36,36,36,36,36,36,36,36,36,36,36,36,36,72429793812,2017-02-06,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.6,24,33.6,24,1018.7,24,0.4,24,8.3,24,2.9,24,11.1,999.9,62.1, ,25.0, ,0.0,G,999.9,10000,9999.9
37,37,37,37,37,37,37,37,37,37,37,37,37,37,72429793812,2017-02-07,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",58.6,24,55.2,24,1004.3,16,986.8,24,9.2,24,13.7,24,19.0,27.0,61.0,*,55.4,*,0.62,G,999.9,10010,9999.9
38,38,38,38,38,38,38,38,38,38,38,38,38,38,72429793812,2017-02-08,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",46.6,24,41.4,24,1007.3,20,989.4,24,8.9,24,8.4,24,14.0,20.0,61.0, ,37.0, ,0.05,G,999.9,10000,42.45218531134599
39,39,39,39,39,39,39,39,39,39,39,39,39,39,72429793812,2017-02-09,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",28.9,24,20.2,24,1022.7,17,1.7,24,8.9,24,10.3,24,15.9,22.0,37.0,*,23.0,*,0.08,G,999.9,11000,19.724614733334615
40,40,40,40,40,40,40,40,40,40,40,40,40,40,72429793812,2017-02-10,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",29.7,24,14.9,24,1025.4,24,6.7,24,10.0,24,6.4,24,14.0,22.0,52.0, ,16.0, ,0.0,G,999.9,0,23.17289521971009
41,41,41,41,41,41,41,41,41,41,41,41,41,41,72429793812,2017-02-11,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",56.5,24,40.2,24,1013.3,24,995.3,24,10.0,24,10.4,24,15.9,20.0,66.0,*,48.9,*,0.0,G,999.9,0,9999.9
42,42,42,42,42,42,42,42,42,42,42,42,42,42,72429793812,2017-02-12,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",57.2,24,52.0,24,1013.4,17,994.9,24,8.5,24,7.8,24,18.1,28.9,66.9, ,48.0, ,0.21,G,999.9,10000,9999.9
43,43,43,43,43,43,43,43,43,43,43,43,43,43,72429793812,2017-02-13,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",40.0,24,21.1,24,1026.2,24,7.9,24,10.0,24,4.8,24,13.0,28.0,63.0, ,27.0, ,0.16,G,999.9,0,36.629481175486546
44,44,44,44,44,44,44,44,44,44,44,44,44,44,72429793812,2017-02-14,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",41.0,24,29.6,24,1015.7,23,997.4,24,10.0,24,5.9,24,15.9,22.0,53.1, ,27.0, ,0.0,G,999.9,0,37.0143154721045
45,45,45,45,45,45,45,45,45,45,45,45,45,45,72429793812,2017-02-15,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",41.4,24,25.1,24,1008.6,23,990.6,24,10.0,24,9.6,24,15.0,22.0,53.1, ,30.9, ,0.0,G,999.9,0,35.54761135082117
46,46,46,46,46,46,46,46,46,46,46,46,46,46,72429793812,2017-02-16,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",34.6,24,19.3,24,1014.8,24,996.5,24,10.0,24,4.5,24,9.9,999.9,45.0, ,28.9, ,0.0,G,999.9,0,30.583037248709438
47,47,47,47,47,47,47,47,47,47,47,47,47,47,72429793812,2017-02-17,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",45.6,24,30.8,24,1011.0,24,992.9,24,10.0,24,4.7,24,15.0,19.0,66.9, ,28.9, ,0.0,G,999.9,0,43.257109980128135
48,48,48,48,48,48,48,48,48,48,48,48,48,48,72429793812,2017-02-18,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",48.0,24,37.4,24,1011.1,24,993.1,24,10.0,24,5.1,24,15.9,999.9,66.9, ,30.0, ,0.0,G,999.9,0,45.80634860374195
49,49,49,49,49,49,49,49,49,49,49,49,49,49,72429793812,2017-02-19,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",51.4,24,46.7,24,1016.8,22,998.7,24,8.5,24,5.1,24,9.9,999.9,64.9, ,30.9, ,0.0,G,999.9,0,9999.9
50,50,50,50,50,50,50,50,50,50,50,50,50,50,72429793812,2017-02-20,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",47.1,24,42.9,24,1022.5,20,4.4,24,3.8,24,1.4,24,7.0,999.9,66.9, ,35.1, ,0.0,G,999.9,100000,9999.9
51,51,51,51,51,51,51,51,51,51,51,51,51,51,72429793812,2017-02-21,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",52.1,24,46.3,24,1017.2,24,999.1,24,9.2,24,1.0,24,7.0,999.9,68.0, ,35.1, ,0.0,G,999.9,10000,9999.9
52,52,52,52,52,52,52,52,52,52,52,52,52,52,72429793812,2017-02-22,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",57.2,24,55.8,24,1012.6,13,995.1,24,4.2,24,1.9,24,8.0,999.9,68.0, ,39.0, ,0.21,G,999.9,110000,9999.9
53,53,53,53,53,53,53,53,53,53,53,53,53,53,72429793812,2017-02-23,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",60.8,24,56.4,24,1008.9,22,991.2,24,9.0,24,5.8,24,15.0,999.9,72.0, ,50.0, ,0.02,G,999.9,0,9999.9
54,54,54,54,54,54,54,54,54,54,54,54,54,54,72429793812,2017-02-24,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",65.6,24,54.7,24,1004.8,24,987.2,24,10.0,24,10.0,24,21.0,28.9,79.0, ,50.0, ,0.0,G,999.9,0,9999.9
55,55,55,55,55,55,55,55,55,55,55,55,55,55,72429793812,2017-02-25,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",44.4,24,33.4,24,1008.5,23,990.3,24,9.9,24,11.7,24,20.0,28.0,71.1,*,33.1,*,0.17,G,999.9,10010,38.47942057342061
56,56,56,56,56,56,56,56,56,56,56,56,56,56,72429793812,2017-02-26,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",34.3,24,17.8,24,1021.7,24,3.3,24,10.0,24,6.8,24,12.0,18.1,55.0, ,24.1, ,0.0,G,999.9,0,28.40174647984074
57,57,57,57,57,57,57,57,57,57,57,57,57,57,72429793812,2017-02-27,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",42.8,24,34.6,24,1024.0,22,5.7,24,9.7,24,2.7,24,7.0,999.9,50.0, ,24.1, ,0.0,G,999.9,10000,9999.9
58,58,58,58,58,58,58,58,58,58,58,58,58,58,72429793812,2017-02-28,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",45.2,24,44.8,24,1021.1,11,0.8,24,6.2,24,2.5,24,15.9,999.9,55.9, ,34.0, ,0.2,G,999.9,110010,9999.9
59,59,59,59,59,59,59,59,59,59,59,59,59,59,72429793812,2017-03-01,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",58.3,24,52.0,18,1007.2,16,988.2,23,8.9,24,12.4,24,29.9,40.0,64.4,*,46.0,*,2.84,G,999.9,10010,9999.9
60,60,60,60,60,60,60,60,60,60,60,60,60,60,72429793812,2017-03-02,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",41.0,24,25.2,24,1021.5,24,3.2,24,10.0,24,13.0,24,21.0,34.0,46.0,*,37.0,*,0.57,G,999.9,10000,33.752750093870986
61,61,61,61,61,61,61,61,61,61,61,61,61,61,72429793812,2017-03-03,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",35.0,24,17.0,24,1032.5,23,13.9,24,9.7,24,8.5,24,12.0,22.0,41.0,*,28.4,*,0.0,G,999.9,1000,28.216665030118975
62,62,62,62,62,62,62,62,62,62,62,62,62,62,72429793812,2017-03-04,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",32.9,24,22.4,24,1036.7,20,18.4,24,8.9,24,3.8,24,11.1,15.9,42.1,*,26.6,*,0.0,G,999.9,101000,29.338245280880418
63,63,63,63,63,63,63,63,63,63,63,63,63,63,72429793812,2017-03-05,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",43.0,24,27.2,24,1030.9,24,12.3,24,10.0,24,4.5,24,15.0,22.0,66.9, ,27.0, ,0.07,G,999.9,0,40.371672086120725
64,64,64,64,64,64,64,64,64,64,64,64,64,64,72429793812,2017-03-06,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",55.1,24,44.5,24,1023.2,23,5.2,24,9.4,24,8.9,24,13.0,20.0,57.9,*,50.0,*,0.0,G,999.9,10000,9999.9
65,65,65,65,65,65,65,65,65,65,65,65,65,65,72429793812,2017-03-07,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",56.8,24,52.5,23,1015.5,18,997.5,24,7.9,24,10.6,24,17.1,24.1,61.0, ,50.0, ,0.22,G,999.9,10000,9999.9
66,66,66,66,66,66,66,66,66,66,66,66,66,66,72429793812,2017-03-08,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",49.5,24,31.6,24,1021.9,24,3.7,24,10.0,24,12.0,24,20.0,28.0,62.1, ,37.9, ,0.43,G,999.9,0,44.792887354699204
67,67,67,67,67,67,67,67,67,67,67,67,67,67,72429793812,2017-03-09,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",49.2,24,33.6,24,1020.6,24,2.4,24,10.0,24,5.0,24,18.1,24.1,70.0, ,30.9, ,0.0,G,999.9,0,47.27834596782374
68,68,68,68,68,68,68,68,68,68,68,68,68,68,72429793812,2017-03-10,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",42.0,24,26.4,24,1021.7,23,3.3,24,9.9,24,10.9,24,15.9,25.1,70.0, ,30.9, ,0.09,G,999.9,10000,35.76428236950271
69,69,69,69,69,69,69,69,69,69,69,69,69,69,72429793812,2017-03-11,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",30.3,24,10.2,24,1030.5,24,11.8,24,10.0,24,7.6,24,14.0,18.1,44.1, ,24.1, ,0.04,G,999.9,0,23.035703829189618
70,70,70,70,70,70,70,70,70,70,70,70,70,70,72429793812,2017-03-12,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",30.7,24,12.8,24,1030.9,24,12.2,24,10.0,24,4.5,24,8.0,999.9,39.9, ,21.9, ,0.0,G,999.9,0,26.03831393133991
71,71,71,71,71,71,71,71,71,71,71,71,71,71,72429793812,2017-03-13,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",34.0,24,20.4,24,1023.6,21,4.4,24,8.9,24,5.6,24,13.0,999.9,43.0, ,21.9, ,0.0,G,999.9,101000,28.922846464371116
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72429793812,2017-03-14,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",28.9,24,20.8,24,1020.3,21,1.4,24,8.3,24,11.1,24,19.0,25.1,43.0, ,23.0, ,0.05,G,999.9,1000,19.31553146000062
73,73,73,73,73,73,73,73,73,73,73,73,73,73,72429793812,2017-03-15,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",26.1,24,11.3,24,1026.2,23,7.4,24,9.9,24,8.3,24,14.0,22.0,34.0, ,19.0, ,0.0,G,999.9,1000,17.458634479373615
74,74,74,74,74,74,74,74,74,74,74,74,74,74,72429793812,2017-03-16,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",31.4,24,13.7,24,1028.7,24,10.0,24,10.0,24,4.6,24,9.9,999.9,44.1, ,19.0, ,0.0,G,999.9,0,26.753981779429427
75,75,75,75,75,75,75,75,75,75,75,75,75,75,72429793812,2017-03-17,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",32.5,24,27.6,24,1024.9,19,5.5,24,7.9,24,2.0,24,8.0,999.9,44.1, ,19.9, ,0.0,G,999.9,10000,9999.9
